FIPS,State,Year,Month,Employable Population,Employed,Unemployed
22,Louisiana,2016,3,"2,134,513","2,003,738","130,775"
23,Maine,2016,3,"686,265","659,657","26,608"
24,Maryland,2016,3,"3,154,121","3,012,566","141,555"
25,Massachusetts,2016,3,"3,598,313","3,451,350","146,963"
26,Michigan,2016,3,"4,828,596","4,590,759","237,837"
27,Minnesota,2016,3,"3,027,550","2,914,689","112,861"
28,Mississippi,2016,3,"1,277,527","1,201,196","76,331"
29,Missouri,2016,3,"3,084,241","2,948,582","135,659"
30,Montana,2016,3,"522,190","500,041","22,149"
31,Nebraska,2016,3,"1,009,703","979,103","30,600"
32,Nevada,2016,3,"1,418,018","1,333,260","84,758"
33,New Hampshire,2016,3,"750,040","728,596","21,444"
34,New Jersey,2016,3,"4,481,577","4,254,203","227,374"
35,New Mexico,2016,3,"936,689","875,097","61,592"
36,New York,2016,3,"9,579,507","9,119,809","459,698"
37,North Carolina,2016,3,"4,836,197","4,588,514","247,683"
38,North Dakota,2016,3,"412,508","399,025","13,483"
39,Ohio,2016,3,"5,745,542","5,458,418","287,124"
40,Oklahoma,2016,3,"1,835,582","1,748,477","87,105"
41,Oregon,2016,3,"2,034,536","1,932,529","102,007"
42,Pennsylvania,2016,3,"6,454,582","6,108,468","346,114"
44,Rhode Island,2016,3,"553,684","523,860","29,824"
45,South Carolina,2016,3,"2,294,748","2,172,723","122,025"
46,South Dakota,2016,3,"451,611","438,723","12,888"
47,Tennessee,2016,3,"3,098,004","2,953,586","144,418"
48,Texas,2016,3,"13,257,970","12,669,432","588,538"
49,Utah,2016,3,"1,490,527","1,437,096","53,431"
50,Vermont,2016,3,"344,235","332,889","11,346"
51,Virginia,2016,3,"4,223,683","4,053,627","170,056"
53,Washington,2016,3,"3,621,268","3,424,072","197,196"
54,West Virginia,2016,3,"783,326","733,270","50,056"
55,Wisconsin,2016,3,"3,121,563","2,991,754","129,809"
56,Wyoming,2016,3,"303,335","286,366","16,969"
1,Alabama,2016,4,"2,176,610","2,049,567","127,043"
2,Alaska,2016,4,"362,235","337,520","24,715"
4,Arizona,2016,4,"3,220,718","3,045,127","175,591"
5,Arkansas,2016,4,"1,338,900","1,284,824","54,076"
6,California,2016,4,"18,984,487","17,934,428","1,050,059"
8,Colorado,2016,4,"2,875,505","2,776,260","99,245"
9,Connecticut,2016,4,"1,887,611","1,787,256","100,355"
10,Delaware,2016,4,"471,907","450,661","21,246"
11,District of Columbia,2016,4,"394,042","369,911","24,131"
12,Florida,2016,4,"9,740,951","9,272,309","468,642"
13,Georgia,2016,4,"4,879,584","4,618,035","261,549"
15,Hawaii,2016,4,"680,322","659,690","20,632"
16,Idaho,2016,4,"810,859","779,465","31,394"
17,Illinois,2016,4,"6,571,787","6,175,766","396,021"
18,Indiana,2016,4,"3,335,181","3,179,546","155,635"
19,Iowa,2016,4,"1,694,652","1,632,809","61,843"
20,Kansas,2016,4,"1,485,963","1,426,864","59,099"
21,Kentucky,2016,4,"2,003,121","1,901,107","102,014"
22,Louisiana,2016,4,"2,131,255","2,000,925","130,330"
23,Maine,2016,4,"687,866","661,409","26,457"
24,Maryland,2016,4,"3,155,461","3,014,940","140,521"
25,Massachusetts,2016,4,"3,602,471","3,459,357","143,114"
26,Michigan,2016,4,"4,835,043","4,596,255","238,788"
27,Minnesota,2016,4,"3,029,031","2,915,312","113,719"
28,Mississippi,2016,4,"1,276,873","1,201,286","75,587"
29,Missouri,2016,4,"3,084,431","2,946,339","138,092"
30,Montana,2016,4,"522,300","500,176","22,124"
31,Nebraska,2016,4,"1,009,604","978,924","30,680"
32,Nevada,2016,4,"1,419,439","1,335,810","83,629"
33,New Hampshire,2016,4,"750,556","729,086","21,470"
34,New Jersey,2016,4,"4,479,689","4,251,164","228,525"
35,New Mexico,2016,4,"936,998","875,018","61,980"
36,New York,2016,4,"9,564,084","9,106,300","457,784"
37,North Carolina,2016,4,"4,840,535","4,595,687","244,848"
38,North Dakota,2016,4,"412,596","399,083","13,513"
39,Ohio,2016,4,"5,744,589","5,458,776","285,813"
40,Oklahoma,2016,4,"1,833,787","1,745,479","88,308"
41,Oregon,2016,4,"2,039,723","1,937,623","102,100"
42,Pennsylvania,2016,4,"6,453,865","6,104,727","349,138"
44,Rhode Island,2016,4,"553,676","523,921","29,755"
45,South Carolina,2016,4,"2,295,683","2,175,240","120,443"
46,South Dakota,2016,4,"451,947","438,929","13,018"
47,Tennessee,2016,4,"3,104,148","2,959,792","144,356"
48,Texas,2016,4,"13,280,901","12,684,335","596,566"
49,Utah,2016,4,"1,494,995","1,441,914","53,081"
50,Vermont,2016,4,"344,432","333,124","11,308"
51,Virginia,2016,4,"4,226,269","4,055,795","170,474"
53,Washington,2016,4,"3,628,467","3,432,445","196,022"
54,West Virginia,2016,4,"783,171","733,639","49,532"
55,Wisconsin,2016,4,"3,122,575","2,994,376","128,199"
56,Wyoming,2016,4,"302,924","285,641","17,283"
1,Alabama,2016,5,"2,177,744","2,051,324","126,420"
2,Alaska,2016,5,"362,074","337,261","24,813"
4,Arizona,2016,5,"3,226,583","3,051,523","175,060"
5,Arkansas,2016,5,"1,339,336","1,285,666","53,670"
6,California,2016,5,"19,000,500","17,953,279","1,047,221"
8,Colorado,2016,5,"2,881,161","2,782,143","99,018"
9,Connecticut,2016,5,"1,890,173","1,790,551","99,622"
10,Delaware,2016,5,"471,862","450,673","21,189"
11,District of Columbia,2016,5,"394,254","370,284","23,970"
12,Florida,2016,5,"9,757,831","9,290,270","467,561"
13,Georgia,2016,5,"4,892,540","4,631,611","260,929"
15,Hawaii,2016,5,"681,389","660,776","20,613"
16,Idaho,2016,5,"812,420","781,168","31,252"
17,Illinois,2016,5,"6,562,522","6,172,165","390,357"
18,Indiana,2016,5,"3,335,255","3,181,697","153,558"
19,Iowa,2016,5,"1,692,845","1,630,753","62,092"
20,Kansas,2016,5,"1,484,466","1,424,843","59,623"
21,Kentucky,2016,5,"2,006,195","1,904,989","101,206"
22,Louisiana,2016,5,"2,127,715","1,997,716","129,999"
23,Maine,2016,5,"689,420","663,097","26,323"
24,Maryland,2016,5,"3,157,689","3,017,580","140,109"
25,Massachusetts,2016,5,"3,607,409","3,467,632","139,777"
26,Michigan,2016,5,"4,841,159","4,601,005","240,154"
27,Minnesota,2016,5,"3,030,768","2,915,661","115,107"
28,Mississippi,2016,5,"1,276,655","1,201,544","75,111"
29,Missouri,2016,5,"3,085,186","2,943,398","141,788"
30,Montana,2016,5,"522,398","500,358","22,040"
31,Nebraska,2016,5,"1,009,547","978,707","30,840"
32,Nevada,2016,5,"1,421,354","1,338,817","82,537"
33,New Hampshire,2016,5,"751,093","729,549","21,544"
34,New Jersey,2016,5,"4,477,760","4,248,677","229,083"
35,New Mexico,2016,5,"937,271","874,881","62,390"
36,New York,2016,5,"9,550,935","9,091,949","458,986"
37,North Carolina,2016,5,"4,845,206","4,601,914","243,292"
38,North Dakota,2016,5,"412,696","399,332","13,364"
39,Ohio,2016,5,"5,742,242","5,457,642","284,600"
40,Oklahoma,2016,5,"1,832,047","1,742,616","89,431"
41,Oregon,2016,5,"2,044,195","1,942,015","102,180"
42,Pennsylvania,2016,5,"6,452,585","6,101,029","351,556"
44,Rhode Island,2016,5,"553,680","523,987","29,693"
45,South Carolina,2016,5,"2,296,654","2,177,878","118,776"
46,South Dakota,2016,5,"452,368","439,160","13,208"
47,Tennessee,2016,5,"3,111,430","2,965,923","145,507"
48,Texas,2016,5,"13,305,802","12,697,623","608,179"
49,Utah,2016,5,"1,499,573","1,447,004","52,569"
50,Vermont,2016,5,"344,602","333,340","11,262"
51,Virginia,2016,5,"4,230,261","4,058,438","171,823"
53,Washington,2016,5,"3,635,018","3,440,149","194,869"
54,West Virginia,2016,5,"782,961","734,039","48,922"
55,Wisconsin,2016,5,"3,123,329","2,996,485","126,844"
56,Wyoming,2016,5,"302,195","284,943","17,252"
1,Alabama,2016,6,"2,179,914","2,053,478","126,436"
2,Alaska,2016,6,"361,847","336,972","24,875"
4,Arizona,2016,6,"3,232,574","3,058,027","174,547"
5,Arkansas,2016,6,"1,339,929","1,286,579","53,350"
6,California,2016,6,"19,019,232","17,973,079","1,046,153"
8,Colorado,2016,6,"2,887,327","2,789,101","98,226"
9,Connecticut,2016,6,"1,892,592","1,793,792","98,800"
10,Delaware,2016,6,"471,801","450,639","21,162"
11,District of Columbia,2016,6,"394,532","370,630","23,902"
12,Florida,2016,6,"9,780,140","9,311,839","468,301"
13,Georgia,2016,6,"4,906,531","4,644,985","261,546"
15,Hawaii,2016,6,"682,721","662,181","20,540"
16,Idaho,2016,6,"814,052","782,932","31,120"
17,Illinois,2016,6,"6,551,737","6,167,321","384,416"
18,Indiana,2016,6,"3,334,355","3,183,653","150,702"
19,Iowa,2016,6,"1,691,281","1,628,985","62,296"
20,Kansas,2016,6,"1,483,235","1,422,937","60,298"
21,Kentucky,2016,6,"2,010,546","1,909,451","101,095"
22,Louisiana,2016,6,"2,124,011","1,994,325","129,686"
23,Maine,2016,6,"690,907","664,696","26,211"
24,Maryland,2016,6,"3,161,020","3,020,855","140,165"
25,Massachusetts,2016,6,"3,613,102","3,475,999","137,103"
26,Michigan,2016,6,"4,847,382","4,605,690","241,692"
27,Minnesota,2016,6,"3,033,097","2,916,186","116,911"
28,Mississippi,2016,6,"1,277,164","1,202,372","74,792"
29,Missouri,2016,6,"3,086,139","2,940,589","145,550"
30,Montana,2016,6,"522,465","500,585","21,880"
31,Nebraska,2016,6,"1,009,516","978,492","31,024"
32,Nevada,2016,6,"1,423,662","1,342,159","81,503"
33,New Hampshire,2016,6,"751,637","730,044","21,593"
34,New Jersey,2016,6,"4,475,906","4,247,446","228,460"
35,New Mexico,2016,6,"937,398","874,695","62,703"
36,New York,2016,6,"9,543,083","9,080,187","462,896"
37,North Carolina,2016,6,"4,851,555","4,608,317","243,238"
38,North Dakota,2016,6,"412,789","399,704","13,085"
39,Ohio,2016,6,"5,740,347","5,455,998","284,349"
40,Oklahoma,2016,6,"1,830,671","1,740,451","90,220"
41,Oregon,2016,6,"2,048,199","1,946,308","101,891"
42,Pennsylvania,2016,6,"6,451,948","6,098,796","353,152"
44,Rhode Island,2016,6,"553,669","524,110","29,559"
45,South Carolina,2016,6,"2,297,516","2,180,630","116,886"
46,South Dakota,2016,6,"452,822","439,405","13,417"
47,Tennessee,2016,6,"3,120,065","2,972,794","147,271"
48,Texas,2016,6,"13,331,528","12,711,478","620,050"
49,Utah,2016,6,"1,504,205","1,452,230","51,975"
50,Vermont,2016,6,"344,754","333,559","11,195"
51,Virginia,2016,6,"4,236,047","4,062,274","173,773"
53,Washington,2016,6,"3,641,664","3,448,020","193,644"
54,West Virginia,2016,6,"782,852","734,503","48,349"
55,Wisconsin,2016,6,"3,124,225","2,998,533","125,692"
56,Wyoming,2016,6,"301,187","284,286","16,901"
1,Alabama,2016,7,"2,182,979","2,056,026","126,953"
2,Alaska,2016,7,"361,613","336,707","24,906"
4,Arizona,2016,7,"3,238,891","3,065,170","173,721"
5,Arkansas,2016,7,"1,340,483","1,287,491","52,992"
6,California,2016,7,"19,038,379","17,994,046","1,044,333"
8,Colorado,2016,7,"2,894,043","2,797,416","96,627"
9,Connecticut,2016,7,"1,894,467","1,796,841","97,626"
10,Delaware,2016,7,"471,737","450,581","21,156"
11,District of Columbia,2016,7,"394,897","371,004","23,893"
12,Florida,2016,7,"9,807,134","9,337,571","469,563"
13,Georgia,2016,7,"4,921,529","4,658,552","262,977"
15,Hawaii,2016,7,"684,127","663,757","20,370"
16,Idaho,2016,7,"815,730","784,782","30,948"
17,Illinois,2016,7,"6,540,568","6,162,291","378,277"
18,Indiana,2016,7,"3,332,623","3,185,360","147,263"
19,Iowa,2016,7,"1,689,795","1,627,571","62,224"
20,Kansas,2016,7,"1,482,348","1,421,415","60,933"
21,Kentucky,2016,7,"2,015,731","1,914,274","101,457"
22,Louisiana,2016,7,"2,120,121","1,990,846","129,275"
23,Maine,2016,7,"692,302","666,190","26,112"
24,Maryland,2016,7,"3,165,311","3,024,916","140,395"
25,Massachusetts,2016,7,"3,619,261","3,484,124","135,137"
26,Michigan,2016,7,"4,853,563","4,610,543","243,020"
27,Minnesota,2016,7,"3,036,017","2,917,152","118,865"
28,Mississippi,2016,7,"1,278,187","1,203,843","74,344"
29,Missouri,2016,7,"3,086,459","2,938,411","148,048"
30,Montana,2016,7,"522,518","500,854","21,664"
31,Nebraska,2016,7,"1,009,430","978,254","31,176"
32,Nevada,2016,7,"1,426,082","1,345,586","80,496"
33,New Hampshire,2016,7,"752,170","730,592","21,578"
34,New Jersey,2016,7,"4,473,967","4,247,606","226,361"
35,New Mexico,2016,7,"937,380","874,578","62,802"
36,New York,2016,7,"9,539,996","9,072,562","467,434"
37,North Carolina,2016,7,"4,859,953","4,615,733","244,220"
38,North Dakota,2016,7,"412,830","400,070","12,760"
39,Ohio,2016,7,"5,739,558","5,454,491","285,067"
40,Oklahoma,2016,7,"1,829,904","1,739,397","90,507"
41,Oregon,2016,7,"2,051,899","1,951,011","100,888"
42,Pennsylvania,2016,7,"6,451,697","6,098,351","353,346"
44,Rhode Island,2016,7,"553,569","524,307","29,262"
45,South Carolina,2016,7,"2,298,185","2,183,470","114,715"
46,South Dakota,2016,7,"453,237","439,630","13,607"
47,Tennessee,2016,7,"3,129,351","2,980,473","148,878"
48,Texas,2016,7,"13,356,210","12,726,964","629,246"
49,Utah,2016,7,"1,508,689","1,457,308","51,381"
50,Vermont,2016,7,"344,897","333,788","11,109"
51,Virginia,2016,7,"4,243,217","4,067,551","175,666"
53,Washington,2016,7,"3,648,670","3,456,538","192,132"
54,West Virginia,2016,7,"782,797","734,988","47,809"
55,Wisconsin,2016,7,"3,125,250","3,000,738","124,512"
56,Wyoming,2016,7,"300,061","283,685","16,376"
1,Alabama,2016,8,"2,186,380","2,058,626","127,754"
2,Alaska,2016,8,"361,426","336,495","24,931"
4,Arizona,2016,8,"3,245,590","3,072,955","172,635"
5,Arkansas,2016,8,"1,340,822","1,288,257","52,565"
6,California,2016,8,"19,055,895","18,014,599","1,041,296"
8,Colorado,2016,8,"2,901,038","2,806,630","94,408"
9,Connecticut,2016,8,"1,895,782","1,799,624","96,158"
10,Delaware,2016,8,"471,709","450,537","21,172"
11,District of Columbia,2016,8,"395,377","371,462","23,915"
12,Florida,2016,8,"9,836,968","9,366,121","470,847"
13,Georgia,2016,8,"4,936,866","4,671,982","264,884"
15,Hawaii,2016,8,"685,410","665,279","20,131"
16,Idaho,2016,8,"817,380","786,677","30,703"
17,Illinois,2016,8,"6,530,343","6,157,339","373,004"
18,Indiana,2016,8,"3,330,464","3,186,486","143,978"
19,Iowa,2016,8,"1,688,153","1,626,330","61,823"
20,Kansas,2016,8,"1,481,715","1,420,364","61,351"
21,Kentucky,2016,8,"2,021,173","1,918,965","102,208"
22,Louisiana,2016,8,"2,116,013","1,987,234","128,779"
23,Maine,2016,8,"693,590","667,584","26,006"
24,Maryland,2016,8,"3,170,346","3,029,620","140,726"
25,Massachusetts,2016,8,"3,625,622","3,491,559","134,063"
26,Michigan,2016,8,"4,859,508","4,615,193","244,315"
27,Minnesota,2016,8,"3,039,275","2,918,624","120,651"
28,Mississippi,2016,8,"1,279,323","1,205,613","73,710"
29,Missouri,2016,8,"3,085,409","2,936,860","148,549"
30,Montana,2016,8,"522,601","501,159","21,442"
31,Nebraska,2016,8,"1,009,265","977,964","31,301"
32,Nevada,2016,8,"1,428,422","1,348,914","79,508"
33,New Hampshire,2016,8,"752,662","731,153","21,509"
34,New Jersey,2016,8,"4,472,131","4,248,751","223,380"
35,New Mexico,2016,8,"937,263","874,625","62,638"
36,New York,2016,8,"9,539,455","9,068,476","470,979"
37,North Carolina,2016,8,"4,869,942","4,624,070","245,872"
38,North Dakota,2016,8,"412,784","400,315","12,469"
39,Ohio,2016,8,"5,740,581","5,453,338","287,243"
40,Oklahoma,2016,8,"1,829,689","1,739,407","90,282"
41,Oregon,2016,8,"2,055,195","1,956,069","99,126"
42,Pennsylvania,2016,8,"6,451,194","6,098,909","352,285"
44,Rhode Island,2016,8,"553,355","524,592","28,763"
45,South Carolina,2016,8,"2,298,778","2,186,259","112,519"
46,South Dakota,2016,8,"453,555","439,790","13,765"
47,Tennessee,2016,8,"3,138,109","2,988,032","150,077"
48,Texas,2016,8,"13,378,885","12,743,432","635,453"
49,Utah,2016,8,"1,512,882","1,461,959","50,923"
50,Vermont,2016,8,"345,054","334,040","11,014"
51,Virginia,2016,8,"4,251,076","4,073,950","177,126"
53,Washington,2016,8,"3,655,911","3,465,572","190,339"
54,West Virginia,2016,8,"782,636","735,395","47,241"
55,Wisconsin,2016,8,"3,126,201","3,002,890","123,311"
56,Wyoming,2016,8,"298,981","283,148","15,833"
1,Alabama,2016,9,"2,189,475","2,060,940","128,535"
2,Alaska,2016,9,"361,330","336,361","24,969"
4,Arizona,2016,9,"3,252,657","3,081,010","171,647"
5,Arkansas,2016,9,"1,340,911","1,288,824","52,087"
6,California,2016,9,"19,070,713","18,032,659","1,038,054"
8,Colorado,2016,9,"2,908,063","2,816,018","92,045"
9,Connecticut,2016,9,"1,896,838","1,802,158","94,680"
10,Delaware,2016,9,"471,784","450,555","21,229"
11,District of Columbia,2016,9,"395,980","372,041","23,939"
12,Florida,2016,9,"9,867,303","9,395,114","472,189"
13,Georgia,2016,9,"4,951,558","4,684,588","266,970"
15,Hawaii,2016,9,"686,464","666,585","19,879"
16,Idaho,2016,9,"818,907","788,528","30,379"
17,Illinois,2016,9,"6,521,502","6,152,224","369,278"
18,Indiana,2016,9,"3,328,358","3,186,749","141,609"
19,Iowa,2016,9,"1,686,120","1,624,950","61,170"
20,Kansas,2016,9,"1,481,156","1,419,734","61,422"
21,Kentucky,2016,9,"2,026,369","1,923,054","103,315"
22,Louisiana,2016,9,"2,111,963","1,983,765","128,198"
23,Maine,2016,9,"694,732","668,859","25,873"
24,Maryland,2016,9,"3,175,756","3,034,632","141,124"
25,Massachusetts,2016,9,"3,632,086","3,497,961","134,125"
26,Michigan,2016,9,"4,865,286","4,619,004","246,282"
27,Minnesota,2016,9,"3,042,451","2,920,504","121,947"
28,Mississippi,2016,9,"1,280,255","1,207,279","72,976"
29,Missouri,2016,9,"3,082,738","2,935,743","146,995"
30,Montana,2016,9,"522,740","501,496","21,244"
31,Nebraska,2016,9,"1,009,081","977,669","31,412"
32,Nevada,2016,9,"1,430,692","1,352,116","78,576"
33,New Hampshire,2016,9,"753,002","731,579","21,423"
34,New Jersey,2016,9,"4,470,616","4,250,177","220,439"
35,New Mexico,2016,9,"937,002","874,751","62,251"
36,New York,2016,9,"9,539,105","9,066,158","472,947"
37,North Carolina,2016,9,"4,880,584","4,632,733","247,851"
38,North Dakota,2016,9,"412,648","400,406","12,242"
39,Ohio,2016,9,"5,744,036","5,452,649","291,387"
40,Oklahoma,2016,9,"1,829,619","1,740,019","89,600"
41,Oregon,2016,9,"2,057,956","1,961,147","96,809"
42,Pennsylvania,2016,9,"6,449,916","6,099,486","350,430"
44,Rhode Island,2016,9,"553,057","524,972","28,085"
45,South Carolina,2016,9,"2,299,557","2,188,857","110,700"
46,South Dakota,2016,9,"453,770","439,870","13,900"
47,Tennessee,2016,9,"3,145,290","2,994,393","150,897"
48,Texas,2016,9,"13,399,340","12,759,137","640,203"
49,Utah,2016,9,"1,516,761","1,466,066","50,695"
50,Vermont,2016,9,"345,211","334,287","10,924"
51,Virginia,2016,9,"4,258,801","4,080,800","178,001"
53,Washington,2016,9,"3,663,038","3,474,601","188,437"
54,West Virginia,2016,9,"782,160","735,663","46,497"
55,Wisconsin,2016,9,"3,126,951","3,004,679","122,272"
56,Wyoming,2016,9,"298,032","282,683","15,349"
1,Alabama,2016,10,"2,191,550","2,062,982","128,568"
2,Alaska,2016,10,"361,322","336,309","25,013"
4,Arizona,2016,10,"3,259,740","3,088,914","170,826"
5,Arkansas,2016,10,"1,340,679","1,289,185","51,494"
6,California,2016,10,"19,080,636","18,047,896","1,032,740"
8,Colorado,2016,10,"2,914,759","2,825,162","89,597"
9,Connecticut,2016,10,"1,897,845","1,804,511","93,334"
10,Delaware,2016,10,"471,996","450,665","21,331"
11,District of Columbia,2016,10,"396,657","372,715","23,942"
12,Florida,2016,10,"9,895,233","9,423,034","472,199"
13,Georgia,2016,10,"4,964,333","4,696,231","268,102"
15,Hawaii,2016,10,"687,208","667,580","19,628"
16,Idaho,2016,10,"820,248","790,265","29,983"
17,Illinois,2016,10,"6,512,450","6,147,124","365,326"
18,Indiana,2016,10,"3,325,869","3,186,208","139,661"
19,Iowa,2016,10,"1,683,490","1,623,220","60,270"
20,Kansas,2016,10,"1,480,456","1,419,511","60,945"
